directors,actors,runtime,production_company,audience_rating,G,NC17,NR,PG,PG-13,R,Action & Adventure,Animation,Anime & Manga,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Faith & Spirituality,Gay & Lesbian,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Sports & Fitness,Television,Western
"Wilhelm Liebenberg, Federico Sanchez","Sarah Manninen, Caroline Neron, Victoria Sanchez, Conrad Pla, Ilona Elkin",108.0,Regent Releasing,39.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Bob Yari, Richard Shepard","Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall, Adam Scott",97.0,The Weinstein Company,65.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Jeff Kramer, Jeffrey Kramer","Mika Boorem, Wang Luoyong, Yi Ding (II), Beau Bridges, Linda Hamilton",107.0,Dark Forest Releasing,66.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Claire Denis,"Beatrice Dalle, Michael Subor, Jean-Marc Teriipaia, Florence Loiret-Caille, Bambou",130.0,Wellspring,73.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael McGowan,"Adam Butcher, Campbell Scott, Gordon Pinsent, Gordon Pincsent, Jennifer Tilly",98.0,IDP,85.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael Showalter,"Michael Showalter, Elizabeth Banks, Michelle Williams, Justin Theroux, Zak Orth",91.0,IFC Films,75.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Roman Polanski,"Ben Kingsley, Barney Clark, Leanne Rowe, Mark Strong (II), Jamie Foreman",130.0,Sony Pictures,63.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Christopher Scott Cherot,"Richard T. Jones, Blair Underwood, Chenoa Maxwell, Andre Royo, Andrew Lauren",96.0,Slow Hand Cinema,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Joshua Michael Stern,"Aaron Eckhart, Ian McKellen, Brittany Murphy, William Hurt, Nick Nolte",102.0,Senator Film,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Steve Taylor,"Michael W. Smith, Jeff Obafemi Carr, Jonathan Thomas, J. Don Ferguson, Lisa Arrindell",104.0,Sony Pictures,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Paula Van der Oest,"Laurien Van Den Broeck, Hunter Bussemaker, Johan Leysen, Jemma Redgrave, Andrew Howard",90.0,Indican Pictures,67.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Sebastian Gutierrez,"Lucy Liu, Michael Chiklis, Carla Gugino, James D'Arcy, Robert Forster",97.0,IDP Distribution,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Salvador Litvak,"Michael Lerner, Lesley Ann Warren, Jack Klugman, Meredith Scott Lynn, Shiri Appleby",87.0,ThinkFilm,68.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Bamber,"Daniel Letterle, Meredith Baxter, David Monahan, Diego Serrano, Dean Shelton",88.0,Regent Releasing,58.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris Fisher,"Cuba Gooding Jr., Wyclef Jean, Keith David, Clifton Collins Jr., Aimee Garcia",97.0,SNP Inc.,42.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
William Brent Bell,"Jon Foster, Frankie Muniz, Samaire Armstrong, Sophia Bush, Jimmi Simpson",85.0,Buena Vista,55.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Jason Matzner,"Agnes Bruckner, Kelli Garner, Justin Long, Gina Gershon, John Corbett",88.0,Dreamland Motion Picture Co.,65.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mark Francis, Marc Francis, Nick Francis","Terrence Howard, Tadesse Meskela, Dr. Ernesto Illy",77.0,California Newsreel,84.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Marshall Curry,"Cory Booker, Sharpe James, Pablo Fonseca, Rich McGrath, Al Sharpton",86.0,Marshall Curry Productions,93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Michael Kang,"Jeffrey Chyau, Sung Kang, Jade Wu, Samantha Futerman, Alexis Chang",76.0,Palm Pictures,64.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Paul Crowder, John Dower","Johann Cruyff, Franz Beckenbauer, Werner Roth, Ahmet Ertegun, Phil Woodnam",97.0,Miramax,80.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hans-Christian Schmid,"Sandra Hueller, Sandra Hüller, Imogen Kogge, Imogen Kog, Burghart Klaussner",92.0,IFC First Take,66.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Chao-Bin Su,"Chen Chang, Yosuke Eguchi, Kar Yan Lam, Barbie Hsu, Chen Po-Lin",117.0,,57.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Eric Canuel,"Patrick Huard, Colm Feore, Lucie Laurier, Sarah-Jeanne Labrosse, Sarain Boylan",116.0,Vivafilm,82.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Apted,"Ioan Gruffudd, Romola Garai, Michael Gambon, Benedict Cumberbatch, Albert Finney",116.0,Samuel Goldwyn Films LLC,85.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Billy Corben,"Jon Roberts, Mickey Munday, Jorge ""Rivi"" Ayala, Dr. Joseph Davis, Sgt. Al Singleton",116.0,Magnolia Pictures,79.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ringan Ledwidge,"Scott Mechlowicz, Tony Barry, Amelia Warner, Shaun Evans, Victoria Thaine",88.0,United International,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Philip Haas,"Connie Nielsen, Damian Lewis, Mido Hamada, Driss Roukhe, John Stattery",106.0,Shadow Distribution,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nick Hurran,"Samaire Armstrong, Kevin Zegers, Emily Hampshire, John Bregar, Brandon Carrera",95.0,Anchor Bay Entertainment,61.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anthony Hopkins,"Anthony Hopkins, Gavin Grazer, Stella Arroyave, Christian Slater, John Turturro",97.0,Strand Releasing,29.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Tom DiCillo,"Steve Buscemi, Michael Pitt, Alison Lohman, Gina Gershon, Callie Thorne",107.0,Peace Arch Films,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Steve Buscemi,"Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders, David Schecter",84.0,Sony Classics,55.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
David Wain,"Paul Rudd, Gretchen Mol, Adam Brody, Famke Janssen, Winona Ryder",99.0,ThinkFilm,40.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley",89.0,20th Century Fox,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Laurent Tirard, Laurent Sivot","Romain Duris, Édouard Baer, Fabrice Luchini, Laura Morante, Ludivine Sagnier",120.0,Sony Pictures Classics,79.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Reed,"Gillian Anderson, Danny Dyer, Anthony Calf, Ralph Brown, Steven Robertson",88.0,Sony Pictures Entertainment,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Zev Berman,"Brian Presley, Martha Higareda, Jake Muxworthy, Rider Strong, Damián Alcázar",104.0,After Dark Films,43.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Adam Green, Joel David Moore","Joel David Moore, Amber Tamblyn, Zachary Levi, Tricia Helfer, David Müller",90.0,Anchor Bay Entertainment,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Aleksandr Sokurov,"Galina Vishnevskaya, Vasily Shetvtsov, Vasily Shevtsov, Raisa Gichaeva, Evgeni Tkachuk",95.0,The Cinema Guild,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Isidore Rosmarin,"Akbar Ahmed, Eve Harow, Saeb Erekat, Izzeldin Abuelaish, Benjamin Netanyahu",73.0,ThinkFilm,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marc Scholermann, Marc Schoelermann","Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith, Johnny Whitworth",93.0,MGM,39.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Robert Zemeckis,"Colin Firth, Leslie Zemeckis, Cary Elwes, Robin Wright, Jacquie Barnbrook",95.0,Walt Disney Studios,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Louise Osmond, Jerry Rothwell","Tilda Swinton, Donald Crowhurst, Santiago Franchessie, Ted Hynds, Jean Badin",93.0,IFC Films,87.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Raja Gosnell,"Drew Barrymore, Andy Garcia, Jamie Lee Curtis, George Lopez, Cheech Marin",91.0,Walt Disney Pictures,52.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Lee (III),"Emily Watson, Julia Roberts, Ryan Reynolds, Willem Dafoe, Carrie-Anne Moss",98.0,Senator Entertainment,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"David Moreau, Xavier Palud","Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija, Fernanda Romero",97.0,Lionsgate Films,43.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Steve Miner,"Ving Rhames, Mena Suvari, Michael Welch, Christa Campbell, Nick Cannon",87.0,First Look International,22.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Howard Deutch,"Dane Cook, Kate Hudson, Jason Biggs, Alec Baldwin, Lizzy Caplan",103.0,Lionsgate,46.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J.T. Petty,"Karl Geary, Doug Hutchison, Sean Patrick Thomas, Clancy Brown, William Mapother",96.0,Lions Gate Films,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Ryuhei Kitamura,"Bradley Cooper, Brooke Shields, Leslie Bibb, Roger Bart, Vinnie Jones",100.0,Lionsgate Films,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Neil Burger,"Rachel McAdams, Tim Robbins, Michael Peña, Annie Corley, Mark L. Young",115.0,Lionsgate,54.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
David Schwimmer,"Simon Pegg, Thandie Newton, Hank Azaria, Dylan Moran, Matthew Fenton",100.0,Picturehouse,64.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn","April Barnett, Rob Brownstein, Colleen Crabtree, Andrew Friedman, Wendi McLendon-Covey",95.0,Magnolia Pictures,36.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Sena,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short, Alexander Bisping",101.0,Warner Bros. Pictures,21.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Brad Gann,"Michael Angarano, Brendan Gleeson, Tom Guiry, Melissa Leo, Emily VanCamp",94.0,Anywhere,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nicholas Moore, Nick Moore","Emma Roberts, Shirley Henderson, Natasha Richardson, Alex Pettyfer, Aidan Quinn",98.0,Universal Pictures,61.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Linh Bui,"Jessica Biel, Forest Whitaker, Ray Liotta, Patrick Swayze, Kris Kristofferson",108.0,Speakeasy Releasing,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Curt Ellis, Ian Cheney, Aaron Woolf","Ian Cheney, Curt Ellis, Stephen Macko, Chuck Pyatt, Ricardo Salvador",90.0,Balcony Releasing,78.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Barbet Schroeder,"Bassam Abu Sharif, Klaus Barbie, Abderrahmane Benhamida, Djamila Bouhared",138.0,Magnolia Pictures,67.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ted Braun,"Hawa Abaker, Kalatumh Adam, Nimeri Issa, Asha Abdal Khaleeq, Don Cheadle",99.0,Warner Independent Pictures,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Abhishek Bachchan, Kaushik Das, Konkona Sen Sharma",138.0,Yash Raj Films,58.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alison Eastwood,"Kevin Bacon, Marcia Gay Harden, Miles Heizer, Marin Hinkle, Eugene Byrd",101.0,Warner Independent,58.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robby Henson,"Michael Madsen, Reynaldo Rosales, Heidi Dippold, Julie Ann Emery, J.P. Davis",88.0,Roadside Attractions,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Salman Khan, Rani Mukerji, Zohra Sehgal",146.0,Sony Pictures,46.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Anil Mehta,"Madhuri Dixit, Konkona Sen Sharma, Jugal Hansraj, Akshaye Khanna, Kunal Kapoor (II)",147.0,Yash Raj Films,72.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Michael Radford,"Demi Moore, David Henry, Michael Caine, Joss Ackland, Nathaniel Parker",106.0,Magnolia Pictures,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Tom Vaughan,"Cameron Diaz, Ashton Kutcher, Jason Sudeikis, Treat Williams, Deirdre O'Connell",99.0,20th Century Fox,65.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ed Harris,"Ed Harris, Viggo Mortensen, Renée Zellweger, Jeremy Irons, Luce Rains",116.0,Warner Bros. Pictures,55.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vicente Amorim,"Viggo Mortensen, Jason Isaacs, Jodie Whittaker, Mark Strong (II), Steven Mackintosh",96.0,ThinkFilm,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,"Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass, Marian Seldes",103.0,Overture Films,84.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Melisa Wallack, Bernie Goldmann","Aaron Eckhart, Jessica Alba, Elizabeth Banks, Timothy Olyphant, Logan Lerman",92.0,First Look,44.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ira Sachs,"Pierce Brosnan, Chris Cooper, Patricia Clarkson, Rachel McAdams, David Wenham",90.0,Sony Classics,36.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Álex de la Iglesia,"Elijah Wood, John Hurt, Julie Cox, Leonor Watling, Jim Carter",110.0,Magnolia Pictures,33.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Gregory Hoblit,"Diane Lane, Billy Burke, Colin Hanks, Joseph Cross, Mary Beth Hurt",101.0,Sony/Screen Gems,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Gregor Jordan,"Billy Bob Thornton, Kim Basinger, Winona Ryder, Jon Foster, Amber Heard",98.0,Senator International,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Clayton Jacobson,"Shane Jacobson, Eve von Bibra, Alf Scerri, Ronald Jacobson, Jesse Jacobson",100.0,Xenon Pictures,86.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Cattaneo,"Lonny Ross, Rainn Wilson, Christina Applegate, Josh Gad, Teddy Geiger",102.0,Fox Atomic,46.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lance Rivera,"Morris Chestnut, Terrence Howard, Queen Latifah, Gabrielle Union, Faizon Love",96.0,Yari Film Group,52.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Abdel Kechiche,"Habib Boufares, Hafsia Herzi, Abdelhamid Aktouche, Bouraouïa Marzouk, Farida Benkhetache",151.0,IFC Films,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brad Silberling, Adam McKay","Will Ferrell, Anna Friel, Danny McBride (IV), Jorma Taccone, John Boylan",102.0,Universal Pictures,32.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jaume Balagueró, Paco Plaza","Manuela Velasco, Pablo Rosso, Martha Carbonell, Jorge-Yamam Serrano, Carlos Lasarte",78.0,Odeon Sky Filmworks,82.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne",113.0,Warner Bros. Pictures,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"David Nerlich, Andrew Traucki","Maeve Dermody, Diana Glenn, Ben Oxenbould, Andy Rodoreda, Maeve Demody",90.0,GGrindstone Entertainment Group,39.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Robert Luketic,"Jim Sturgess, Kate Bosworth, Laurence Fishburne, Kevin Spacey, Aaron Yoo",122.0,Sony/Columbia Pictures,66.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nic Balthazar,"Greg Timmermans, Laura Verlinden, Marijke Pinoy, Pol Goossen, Titus De Voogdt",93.0,Film Movement,80.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong (II), Golshifteh Farahani, Oscar Isaac",128.0,Warner Bros. Pictures,62.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Rodrigo García,"Anne Hathaway, Patrick Wilson, Clea DuVall, Andre Braugher, Dianne Wiest",92.0,Sony Pictures/TriStar Pictures,35.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Zak Penn,"Woody Harrelson, David Cross, Dennis Farina, Cheryl Hines, Richard Kind",104.0,Anchor Bay Entertainment,43.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Herman-Wurmfeld,"Adam Carolla, Heather Juergensen, Oswaldo Castillo, Harold House Moore, Tom Quinn",93.0,IFC Films,90.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masayuki Ochiai,"Joshua Jackson, Rachael Taylor, Megumi Okina, David Denman, John Hensley",85.0,20th Century Fox,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Scott Stewart,"Paul Bettany, Maggie Q, Cam Gigandet, Lily Collins, Christopher Plummer",87.0,Screen Gems/SONY PICTURES,46.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
